HotelId,HotelName,VenueId,BoardId,BoardCode,CategoryId,CategoryName,GapType,SuggestedRPC,SuggestedITC,Reason
1,Grand Hotel Rimini,2768,1,RO,2,superior,A,7073,SPR,Board RO exists for hotel but category superior is missing
1,Grand Hotel Rimini,2768,1,RO,4,deluxe,A,7073,DLX,Board RO exists for hotel but category deluxe is missing
1,Grand Hotel Rimini,2768,1,RO,12,suite,A,7073,Suite,Board RO exists for hotel but category suite is missing
1,Grand Hotel Rimini,2768,2,BB,2,superior,A,7074,SPR,Board BB exists for hotel but category superior is missing
1,Grand Hotel Rimini,2768,2,BB,4,deluxe,A,7074,DLX,Board BB exists for hotel but category deluxe is missing
1,Grand Hotel Rimini,2768,2,BB,12,suite,A,7074,Suite,Board BB exists for hotel but category suite is missing
250,Holiday Inn London - Bloomsbury,2849,1,RO,2,superior,A,7163,SPR,Board RO exists for hotel but category superior is missing
250,Holiday Inn London - Bloomsbury,2849,1,RO,4,deluxe,A,7163,DLX,Board RO exists for hotel but category deluxe is missing
250,Holiday Inn London - Bloomsbury,2849,1,RO,12,suite,A,7163,Suite,Board RO exists for hotel but category suite is missing
250,Holiday Inn London - Bloomsbury,2849,2,BB,2,superior,A,7164,SPR,Board BB exists for hotel but category superior is missing
250,Holiday Inn London - Bloomsbury,2849,2,BB,4,deluxe,A,7164,DLX,Board BB exists for hotel but category deluxe is missing
250,Holiday Inn London - Bloomsbury,2849,2,BB,12,suite,A,7164,Suite,Board BB exists for hotel but category suite is missing
571,Strand Palace Hotel,2845,1,RO,4,deluxe,A,7171,DLX,Board RO exists for hotel but category deluxe is missing
571,Strand Palace Hotel,2845,1,RO,12,suite,A,7171,Suite,Board RO exists for hotel but category suite is missing
571,Strand Palace Hotel,2845,2,BB,4,deluxe,A,7172,DLX,Board BB exists for hotel but category deluxe is missing
571,Strand Palace Hotel,2845,2,BB,12,suite,A,7172,Suite,Board BB exists for hotel but category suite is missing
695,Doubletree By Hilton London-Islington,695,1,RO,2,superior,A,7155,SPR,Board RO exists for hotel but category superior is missing
695,Doubletree By Hilton London-Islington,695,1,RO,12,suite,A,7155,Suite,Board RO exists for hotel but category suite is missing
695,Doubletree By Hilton London-Islington,695,2,BB,2,superior,A,7156,SPR,Board BB exists for hotel but category superior is missing
695,Doubletree By Hilton London-Islington,695,2,BB,12,suite,A,7156,Suite,Board BB exists for hotel but category suite is missing
1265,The Clermont Hotel Victoria (ex:The Amba Hotel Grosvenor),2852,1,RO,2,superior,A,7157,SPR,Board RO exists for hotel but category superior is missing
1265,The Clermont Hotel Victoria (ex:The Amba Hotel Grosvenor),2852,1,RO,12,suite,A,7157,Suite,Board RO exists for hotel but category suite is missing
1265,The Clermont Hotel Victoria (ex:The Amba Hotel Grosvenor),2852,2,BB,2,superior,A,7158,SPR,Board BB exists for hotel but category superior is missing
1265,The Clermont Hotel Victoria (ex:The Amba Hotel Grosvenor),2852,2,BB,12,suite,A,7158,Suite,Board BB exists for hotel but category suite is missing
1329,"Thistle Holborn, The Kingsley",2850,1,RO,2,superior,A,7161,SPR,Board RO exists for hotel but category superior is missing
1329,"Thistle Holborn, The Kingsley",2850,1,RO,12,suite,A,7161,Suite,Board RO exists for hotel but category suite is missing
1329,"Thistle Holborn, The Kingsley",2850,2,BB,2,superior,A,7162,SPR,Board BB exists for hotel but category superior is missing
1329,"Thistle Holborn, The Kingsley",2850,2,BB,12,suite,A,7162,Suite,Board BB exists for hotel but category suite is missing
1360,Pullman London St Pancras,2842,1,RO,4,deluxe,A,7177,DLX,Board RO exists for hotel but category deluxe is missing
1360,Pullman London St Pancras,2842,1,RO,12,suite,A,7177,Suite,Board RO exists for hotel but category suite is missing
1360,Pullman London St Pancras,2842,2,BB,4,deluxe,A,7178,DLX,Board BB exists for hotel but category deluxe is missing
1360,Pullman London St Pancras,2842,2,BB,12,suite,A,7178,Suite,Board BB exists for hotel but category suite is missing
1514,Phoenix Hotel,2804,1,RO,2,superior,A,7095,SPR,Board RO exists for hotel but category superior is missing
1514,Phoenix Hotel,2804,1,RO,12,suite,A,7095,Suite,Board RO exists for hotel but category suite is missing
1514,Phoenix Hotel,2804,2,BB,2,superior,A,7096,SPR,Board BB exists for hotel but category superior is missing
1514,Phoenix Hotel,2804,2,BB,12,suite,A,7096,Suite,Board BB exists for hotel but category suite is missing
1758,"The Clermont Hotel, Charing Cross (Ex: Amba Charing Cross - Guonan)",2860,1,RO,12,suite,A,7192,Suite,Board RO exists for hotel but category suite is missing
1758,"The Clermont Hotel, Charing Cross (Ex: Amba Charing Cross - Guonan)",2860,2,BB,12,suite,A,7193,Suite,Board BB exists for hotel but category suite is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,1,RO,2,superior,A,7173,SPR,Board RO exists for hotel but category superior is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,1,RO,4,deluxe,A,7173,DLX,Board RO exists for hotel but category deluxe is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,1,RO,12,suite,A,7173,Suite,Board RO exists for hotel but category suite is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,2,BB,2,superior,A,7174,SPR,Board BB exists for hotel but category superior is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,2,BB,4,deluxe,A,7174,DLX,Board BB exists for hotel but category deluxe is missing
1850,St James' Court A Taj Hotel (former Crowne Plaza St James),2844,2,BB,12,suite,A,7174,Suite,Board BB exists for hotel but category suite is missing
2315,Est Hotel,2979,1,RO,2,superior,A,7528,SPR,Board RO exists for hotel but category superior is missing
2315,Est Hotel,2979,1,RO,4,deluxe,A,7528,DLX,Board RO exists for hotel but category deluxe is missing
2315,Est Hotel,2979,1,RO,12,suite,A,7528,Suite,Board RO exists for hotel but category suite is missing
2315,Est Hotel,2979,2,BB,2,superior,A,7529,SPR,Board BB exists for hotel but category superior is missing
2315,Est Hotel,2979,2,BB,4,deluxe,A,7529,DLX,Board BB exists for hotel but category deluxe is missing
